attributes.databaseEngine,attributes.deploymentOption,attributes.usagetype,attributes.regionCode,attributes.instanceType,attributes.instanceFamily,attributes.vcpu,attributes.clockSpeed,attributes.physicalProcessor,attributes.memory,attributes.storage,attributes.networkPerformance,attributes.processorArchitecture,attributes.databaseEdition,attributes.licenseModel,attributes.instanceTypeFamily,attributes.normalizationSizeFactor,attributes.dedicatedEbsThroughput,attributes.enhancedNetworkingSupported,attributes.processorFeatures,pricePerUnit
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.4xl,us-west-2,db.m6gd.4xlarge,General purpose,16,,AWS Graviton2,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,M6GD,96,,,,4.1760000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6i.16xl,us-west-2,db.m6i.16xlarge,General purpose,64,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,25 Gbps,x86,,No license required,M6i,128,,,,5.4720000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.16xl,us-west-2,db.r6gd.16xlarge,Memory optimized,64,,AWS Graviton2,512 GB,2 x 1900 NVMe SSD,25 Gigabit,64-bit,,No license required,R6GD,384,,,,23.1170000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5.16xl,us-west-2,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,7.6800000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6g.16xl,us-west-2,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,128,,,,5.0880000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.32xl,us-west-2,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,256,,,,18.5600000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6i.16xl,us-west-2,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,256,,,,15.3600000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r5b.12xl,us-west-2,db.r5b.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5b,96,3750 Mbps,Yes,,7.1040000000
MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.4xlarge,us-west-2,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,32,,,,2.6080000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.2xl,us-west-2,db.r5b.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,32,625 Mbps,Yes,,2.3680000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6i.12xl,us-west-2,db.m6i.12xlarge,General purpose,48,,Intel Xeon Scalable Ice Lake,192 GiB,EBS Only,18.75 Gbps,x86,,No license required,M6i,96,,,,4.2720000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r5d.xl,us-west-2,db.r5d.xlarge,Memory optimized,4,,Intel Xeon Platinum 8175,32 GiB,1 x 150 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,R5d,24,,,,1.6080000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t3.large,us-west-2,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,4,,,,0.1640000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.2xlarge,us-west-2,db.x2g.2xlarge,Memory optimized,8,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.5080000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r5.16xl,us-west-2,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,9.2800000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m5.xl,us-west-2,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.3420000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.32xl,us-west-2,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,256,,,,16.0000000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.4300000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.8xlarge,us-west-2,db.x2g.8xlarge,Memory optimized,32,,AWS Graviton2,512 GiB,EBS Only,12 gigabit,64-bit,,No license required,X2G,64,,,,6.0320000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6g.16xl,us-west-2,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,128,,,,4.8640000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.12xlarge,us-west-2,db.x2g.12xlarge,Memory optimized,48,,AWS Graviton2,768 GiB,EBS Only,20 Gigabit,64-bit,,No license required,X2G,96,,,,9.0480000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.8xl,us-west-2,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,128,,,,5.0880000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.16xl,us-west-2,db.m6gd.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,2 x 1900 NVMe SSD,25 Gigabit,64-bit,,No license required,M6GD,384,,,,16.7040000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.xlarge,us-west-2,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7540000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.4xlarge,us-west-2,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,32,,,,3.0160000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t3.medium,us-west-2,db.t3.medium,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),4 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,2,,,,0.0820000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r5d.24xl,us-west-2,db.r5d.24xlarge,Memory optimized,96,,Intel Xeon Platinum 8175,768 GiB,4 x 900 NVMe SSD,25 Gbps,64-bit,,No license required,R5d,576,,,,38.5920000000
MySQL,Single-AZ,USW2-InstanceUsage:db.t4g.micro,us-west-2,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,0.5,,,,0.0160000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.large,us-west-2,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.3560000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.8xl,us-west-2,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,128,,,,5.6960000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2250000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.12xl,us-west-2,db.r6gd.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,2 x 1425 NVMe SSD,20 Gigabit,64-bit,,No license required,R6GD,288,,,,17.3380000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2600000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6i.large,us-west-2,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,4,,,,0.1710000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.4xl,us-west-2,db.r6i.4xlarge,Memory optimized,16,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,32,,,,2.3200000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.12xl,us-west-2,db.m6g.12xlarge,General purpose,48,,AWS Graviton2,192 GiB,EBS Only,12 gigabit,64-bit,,No license required,M6G,192,,,,7.6320000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.xlarge,us-west-2,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.6520000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.xl,us-west-2,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,16,Up to 3500 Mbps,Yes,,1.0000000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.large,us-west-2,db.m6g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,8,,,,0.3180000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.8xl,us-west-2,db.m5d.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,2 x 600 NVMe SSD,10 Gbps,64-bit,,No license required,M5d,192,,,,9.3600000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5b.large,us-west-2,db.r5b.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,4,156 Mbps,Yes,,0.2960000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.xl,us-west-2,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,16,,,,0.6840000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.12xl,us-west-2,db.m5d.12xlarge,General purpose,48,,Intel Xeon Platinum 8175,192 GiB,2 x 900 NVMe SSD,12 Gbps,64-bit,,No license required,M5d,288,,,,14.0400000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t3.micro,us-west-2,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,0.5,,,,0.0180000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m5.large,us-west-2,db.m5.large,General purpose,2,2.5 GHz,Intel Xeon Platinum 8175,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,4,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.1780000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.2xl,us-west-2,db.t3.2xlarge,General purpose,8,,Intel Skylake E5 2686 v5 (2.5 GHz),32 GiB,EBS Only,Moderate,64-bit,,No license required,T3,32,,,,1.1580000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m5.4xl,us-west-2,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,32,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",1.4240000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.4xl,us-west-2,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.0760000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.24xl,us-west-2,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,384,14000 Mbps,Yes,,23.0400000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6i.large,us-west-2,db.r6i.large,Memory optimized,2,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,4,,,,0.2400000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6i.4xl,us-west-2,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.3680000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m5.24xl,us-west-2,db.m5.24xlarge,General purpose,96,2.5 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M5,192,12000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",8.5440000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.24xl,us-west-2,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,384,,,,17.0880000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.16xl,us-west-2,db.m5d.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,4 x 600 NVMe SSD,20 Gbps,64-bit,,No license required,M5d,384,,,,18.7200000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.8xl,us-west-2,db.m5d.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,2 x 600 NVMe SSD,10 Gbps,64-bit,,No license required,M5d,192,,,,9.3600000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6i.12xl,us-west-2,db.m6i.12xlarge,General purpose,48,,Intel Xeon Scalable Ice Lake,192 GiB,EBS Only,18.75 Gbps,x86,,No license required,M6i,96,,,,4.1040000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.large,us-west-2,db.x2g.large,Memory optimized,2,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,4,,,,0.3770000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.16xl,us-west-2,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,128,,,,8.0000000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.4xl,us-west-2,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,64,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",2.8480000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.4xl,us-west-2,db.m6g.4xlarge,General purpose,16,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,64,,,,2.5440000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.8xl,us-west-2,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,3.4370000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.2xl,us-west-2,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,1.0380000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.large,us-west-2,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,8,,,,0.2580000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.micro,us-west-2,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,1,,,,0.0360000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.large,us-west-2,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,8,,,,0.2720000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6i.xl,us-west-2,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.3560000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.8xl,us-west-2,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,5.6960000000
MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.8xlarge,us-west-2,db.x2g.8xlarge,Memory optimized,32,,AWS Graviton2,512 GiB,EBS Only,12 gigabit,64-bit,,No license required,X2G,64,,,,5.2160000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.4500000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.xl,us-west-2,db.r6gd.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,R6GD,24,,,,1.4450000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m5.4xl,us-west-2,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,32,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",1.3680000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.large,us-west-2,db.r5.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.4800000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.16xl,us-west-2,db.r6gd.16xlarge,Memory optimized,64,,AWS Graviton2,512 GB,2 x 1900 NVMe SSD,25 Gigabit,64-bit,,No license required,R6GD,384,,,,23.1170000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r5.8xl,us-west-2,db.r5.8xlarge,Memory optimized,32,,Intel Xeon Platinum 8175,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,64,,,,4.6400000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.16xl,us-west-2,db.m6i.16xlarge,General purpose,64,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,25 Gbps,x86,,No license required,M6i,256,,,,10.9440000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.8xl,us-west-2,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,4.1530000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.4xl,us-west-2,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,64,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",2.7360000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.12xl,us-west-2,db.m5.12xlarge,General purpose,48,2.5 GHz,Intel Xeon Platinum 8175,192 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,192,6000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",8.2080000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.large,us-west-2,db.m5.large,General purpose,2,2.5 GHz,Intel Xeon Platinum 8175,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.3420000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6g.4xl,us-west-2,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,1.7980000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.8xl,us-west-2,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,5.4700000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.x2g.xlarge,us-west-2,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.3040000000
MySQL,Single-AZ,USW2-InstanceUsage:db.t4g.2xlarge,us-west-2,db.t4g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.5170000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6g.2xl,us-west-2,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,1.0380000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.medium,us-west-2,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1290000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.xl,us-west-2,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,0.8990000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6g.4xl,us-west-2,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.0760000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.micro,us-west-2,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0320000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r5.large,us-west-2,db.r5.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,4,Up to 3500 Mbps,Yes,,0.2500000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.12xl,us-west-2,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,192,,,,10.7900000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.4xl,us-west-2,db.r5.4xlarge,Memory optimized,16,Up to 3.1 GHz,Intel Xeon Platinum 8175,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,64,3500 Mbps,Yes,,3.8400000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.8xl,us-west-2,db.r6gd.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,1 x 1900 NVMe SSD,10 Gigabit,64-bit,,No license required,R6GD,192,,,,11.5580000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r5d.2xl,us-west-2,db.r5d.2xlarge,Memory optimized,8,,Intel Xeon Platinum 8175,64 GiB,1 x 300 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,R5d,48,,,,3.2160000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6i.8xl,us-west-2,db.r6i.8xlarge,Memory optimized,32,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,12.5 Gbps,x86,,No license required,R6i,64,,,,3.8400000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.2xl,us-west-2,db.m6gd.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,M6GD,48,,,,2.0880000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.t3.small,us-west-2,db.t3.small,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),2 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,1,,,,0.0410000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.2xl,us-west-2,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,32,Up to 3500 Mbps,Yes,,1.9200000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.12xl,us-west-2,db.r5b.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5b,192,3750 Mbps,Yes,,14.2080000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.16xl,us-west-2,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,6.8740000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5.12xl,us-west-2,db.r5.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,96,7000 Mbps,Yes,,5.7600000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.2xl,us-west-2,db.m5.2xlarge,General purpose,8,2.5 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,32,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",1.4240000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5b.8xl,us-west-2,db.r5b.8xlarge,Memory optimized,32,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5b,64,2500 Mbps,Yes,,4.7360000000
